,player_id,pitch1,pitch2,uses,tot_bb,exit_velo,exit_velo_minus,whiff_rate,whiff_rate_add
5609,571666,Slider,Curveball,78,14,85.10000000000001,0.48425925925926094,0.1282051282051282,0.00505241884552228
5610,571666,Slider,Sinker,30,11,84.19333333333333,2.877777777777794,0.06666666666666667,0.030303030303030304
5611,571666,Slider,2-Seam Fastball,83,14,81.93846153846154,3.4185478073328426,0.07228915662650602,0.023728005547369327
5612,571666,Changeup,4-Seam Fastball,98,26,89.76333333333334,-0.448888888888888,0.07142857142857142,0.012891986062717763
5613,571666,Changeup,Slider,48,15,85.43333333333335,-0.35860215053767774,0.0,-0.07207207207207207
5614,571666,Changeup,Changeup,89,28,83.20882352941175,1.5096288515406258,0.10112359550561797,0.0050451641330689495
5615,571666,Changeup,Curveball,46,5,81.91666666666667,3.667592592592598,0.17391304347826086,0.05076033411865495
5616,571666,Changeup,Sinker,13,5,82.4,4.6711111111111165,0.07692307692307693,0.040559440559440565
5617,571666,Changeup,2-Seam Fastball,25,9,91.78888888888889,-6.43187954309451,0.0,-0.048561151079136694
5618,571666,Curveball,4-Seam Fastball,158,31,86.24324324324321,3.0712012012012337,0.10759493670886076,0.0490583513430071
5619,571666,Curveball,Slider,65,13,83.97058823529412,1.1041429475015576,0.015384615384615385,-0.056687456687456686
5620,571666,Curveball,Changeup,58,16,91.21176470588237,-6.493312324930002,0.1896551724137931,0.09357674104124407
5621,571666,Curveball,Curveball,119,20,86.53750000000001,-0.9532407407407391,0.1092436974789916,-0.013909011880614316
5622,571666,Curveball,Sinker,8,1,87.33333333333333,-0.26222222222220637,0.0,-0.03636363636363636
5623,571666,Curveball,2-Seam Fastball,53,13,82.34615384615384,3.0108554996405417,0.05660377358490566,0.008042622505768968
5624,571666,Sinker,4-Seam Fastball,15,6,81.48888888888888,7.825555555555567,0.0,-0.05853658536585366
5625,571666,Sinker,Slider,11,3,91.12,-6.045268817204331,0.09090909090909091,0.01883701883701884
5626,571666,Sinker,Changeup,24,8,77.13846153846156,7.579990842490815,0.08333333333333333,-0.012745098039215697
5627,571666,Sinker,Curveball,3,0,72.6,12.984259259259275,0.0,-0.12315270935960591
5628,571666,Sinker,Sinker,15,4,89.3,-2.228888888888875,0.06666666666666667,0.030303030303030304
5629,571666,Sinker,2-Seam Fastball,0,0,,,,
5630,571666,2-Seam Fastball,4-Seam Fastball,88,23,92.41304347826087,-3.098599033816427,0.07954545454545454,0.021008869179600882
5631,571666,2-Seam Fastball,Slider,60,9,87.12,-2.045268817204331,0.016666666666666666,-0.05540540540540541
5632,571666,2-Seam Fastball,Changeup,46,17,84.72941176470589,-0.010959383753515795,0.021739130434782608,-0.07433930093776642
5633,571666,2-Seam Fastball,Curveball,86,9,87.85555555555555,-2.271296296296285,0.1744186046511628,0.05126589529155688
5634,571666,2-Seam Fastball,Sinker,0,0,,,,
5635,571666,2-Seam Fastball,2-Seam Fastball,134,33,85.62424242424245,-0.2672330784480721,0.07462686567164178,0.02606571459250509
5636,641571,Curveball,Curveball,2,0,,,0.0,0.0
5637,641571,Curveball,4-Seam Fastball,16,4,90.60000000000001,1.8374999999999915,0.0,-0.05853658536585366
5638,641571,Curveball,Changeup,7,1,83.4,5.839999999999989,0.2857142857142857,0.1357142857142857
5639,641571,Curveball,Slider,2,0,,,0.0,-0.09195402298850575
5640,641571,Curveball,2-Seam Fastball,5,1,89.1,2.6750000000000114,0.0,-0.08108108108108109
5641,641571,4-Seam Fastball,Curveball,18,4,97.07499999999999,-1.6249999999999858,0.0,0.0
5642,641571,4-Seam Fastball,4-Seam Fastball,55,10,96.47,-4.032499999999999,0.09090909090909091,0.03237250554323725
5643,641571,4-Seam Fastball,Changeup,41,8,88.0,1.2399999999999949,0.14634146341463414,-0.003658536585365857
5644,641571,4-Seam Fastball,Slider,35,11,90.26363636363637,3.6585858585858517,0.08571428571428572,-0.006239737274220031
5645,641571,4-Seam Fastball,2-Seam Fastball,11,0,,,0.09090909090909091,0.009828009828009826
5646,641571,Changeup,Curveball,3,1,96.9,-1.4500000000000028,0.0,0.0
5647,641571,Changeup,4-Seam Fastball,33,6,90.51666666666667,1.9208333333333343,0.06060606060606061,0.002069475240206946
5648,641571,Changeup,Changeup,8,0,,,0.25,0.1
5649,641571,Changeup,Slider,9,2,95.6,-1.6777777777777771,0.0,-0.09195402298850575
5650,641571,Changeup,2-Seam Fastball,4,1,82.9,8.875,0.25,0.16891891891891891
5651,641571,Slider,Curveball,5,1,82.9,12.549999999999997,0.0,0.0
5652,641571,Slider,4-Seam Fastball,30,7,92.88571428571429,-0.4482142857142861,0.03333333333333333,-0.02520325203252033
5653,641571,Slider,Changeup,10,3,88.13333333333334,1.106666666666655,0.1,-0.04999999999999999
5654,641571,Slider,Slider,14,1,102.5,-8.577777777777783,0.21428571428571427,0.12233169129720853
